audio,transcript,duration_s
clips/chunk_0000.mp3,managers are people,1.9
clips/chunk_0001.mp3,responsible for supervising the use,2.9
clips/chunk_0002.mp3,of an organizational resources,2.3
clips/chunk_0003.mp3,resources to meet,1.4
clips/chunk_0004.mp3,it's goal,0.7
clips/chunk_0005.mp3,and zane,0.4
clips/chunk_0006.mp3,فام,0.5
clips/chunk_0007.mp3,شنو هو التعريف؟ يقولّك ها مننا,2.3
clips/chunk_0008.mp3,ال manager هو شخص okay,2.1
clips/chunk_0009.mp3,بيشرف لي على شنو؟ بيشرف לי على الموارد أو خلنا نحط مني,4.0
clips/chunk_0010.mp3,هنشرح عليه الرسمك,1.5
clips/chunk_0011.mp3,المدير هو,1.5
clips/chunk_0012.mp3,شخص,0.7
clips/chunk_0013.mp3,شخص بيشرف لي على هذه الموارد اللي توني شرحناهم,3.8
clips/chunk_0014.mp3,okay,0.5
clips/chunk_0015.mp3,بيشرف لي على ال physical,1.6
clips/chunk_0016.mp3,على ال human,1.0
clips/chunk_0017.mp3,و ال financial وال information,1.9
clips/chunk_0018.mp3,عشان الموضوع شنو ما يصر سبح للا,2.4
clips/chunk_0019.mp3,وما يصير في عد نشنو,1.7
clips/chunk_0020.mp3,مثلًا,0.8
clips/chunk_0021.mp3,misuse إلى ال information,1.9
clips/chunk_0022.mp3,عشان اتأكد ان,1.9
clips/chunk_0023.mp3,كل واحد قاعد يشتغل صح لازم يكون فيه فوقهم مدير يشرف عليهم,4.8
clips/chunk_0024.mp3,صح ولا لا؟,0.8
clips/chunk_0025.mp3,فال managers,1.0
clips/chunk_0026.mp3,are the people,1.2
clips/chunk_0027.mp3,responsible for what supervising,2.5
clips/chunk_0028.mp3,المسؤولين,0.8
clips/chunk_0029.mp3,أو اللي,0.8
clips/chunk_0030.mp3,المديرين هم الأشخاص,1.4
clips/chunk_0031.mp3,المسؤولية عن شنو؟ عن الاشراف,2.3
clips/chunk_0032.mp3,بيشرفون على ال human,2.0
clips/chunk_0033.mp3,وبيشرفون على,1.2
clips/chunk_0034.mp3,الفلوس,0.9
clips/chunk_0035.mp3,بيشرفون على ال information,1.8
clips/chunk_0036.mp3,وبيشرفون بعد حتى على الأشياء ال physical,2.8
clips/chunk_0037.mp3,عشان محد,1.0
clips/chunk_0038.mp3,والله يخرب ال computer,1.8
clips/chunk_0039.mp3,أو اخرب الأشياء ال physical اللي عدنا,2.8
clips/chunk_0040.mp3,ال machine,0.9
clips/chunk_0041.mp3,okay,0.6
clips/chunk_0042.mp3,فلازم يكون فيه مدير,1.6
clips/chunk_0043.mp3,يشرف على هذه الأشياء,1.5
clips/chunk_0044.mp3,نزين؟,0.6
clips/chunk_0045.mp3,الحين ننتقل,1.4
clips/chunk_0046.mp3,خنشوف أول هذا التعريف,2.0
clips/chunk_0047.mp3,قلّكم هنا,1.1
clips/chunk_0048.mp3,ال management,1.1
clips/chunk_0049.mp3,نزيين الادارة,1.4
clips/chunk_0050.mp3,من زين؟,0.6
clips/chunk_0051.mp3,هي شنو؟,0.9
clips/chunk_0052.mp3,management includes,1.7
clips/chunk_0053.mp3,"the planning, organizing, leading and controlling",4.0
clips/chunk_0054.mp3,of human and other resources to achieve organizational goals,4.8
clips/chunk_0055.mp3,effectively,1.1
clips/chunk_0056.mp3,and,0.5
clips/chunk_0057.mp3,efficiently,0.8
clips/chunk_0058.mp3,and zine,0.5
clips/chunk_0059.mp3,فا,0.5
clips/chunk_0060.mp3,هذا الشخص,1.0
clips/chunk_0061.mp3,and zayn,0.6
clips/chunk_0062.mp3,لازم,0.7
clips/chunk_0063.mp3,يشرف على هذه الموارد,1.9
clips/chunk_0064.mp3,ولازم,0.9
clips/chunk_0065.mp3,شنو؟,0.5
clips/chunk_0066.mp3,يتبع هذه الخطوات أو هاي ال task,3.1
clips/chunk_0067.mp3,أو هذه المهمات، انزين؟,2.0
clips/chunk_0068.mp3,عشان يحقق في النهاية شنو أهداف المنظمة,3.3
clips/chunk_0069.mp3,okay,0.6
clips/chunk_0070.mp3,في المدير,0.9
clips/chunk_0071.mp3,و,0.5
clips/chunk_0072.mp3,الشخص يبي يحقق الأهداف,1.8
clips/chunk_0073.mp3,زين شلون بيحقق الأهداف؟,1.7
clips/chunk_0074.mp3,لازم يشرف على هذه الموارد,2.1
clips/chunk_0075.mp3,okay,0.6
clips/chunk_0076.mp3,ولازم شنو؟,1.1
clips/chunk_0077.mp3,يمشي على هذه ال task,2.2
clips/chunk_0078.mp3,أو هذه المهمات,1.5
clips/chunk_0079.mp3,الاربع عشان في النهاية احقق,2.7
clips/chunk_0080.mp3,أهداف المنظمة,1.1
clips/chunk_0081.mp3,okay,0.5
clips/chunk_0082.mp3,ch,0.2
clips/chunk_0083.mp3,فالحين بنشرح,1.3
clips/chunk_0084.mp3,هذه ال management task,1.9
clips/chunk_0085.mp3,أو ال management function نسميهم خلّك تبلكهم,2.9
clips/chunk_0086.mp3,مان جنان,0.9
clips/chunk_0087.mp3,task,0.8
clips/chunk_0088.mp3,أو,0.6
clips/chunk_0089.mp3,function,0.6
clips/chunk_0090.mp3,فلاجاكم السؤال شنو هما ال management؟,2.7
clips/chunk_0091.mp3,task,0.6
clips/chunk_0092.mp3,أو ال management function شن تكتبون ليهم؟,2.6
clips/chunk_0093.mp3,كتبوا لهم هاي الأربع,1.3
clips/chunk_0094.mp3,planning,0.6
clips/chunk_0095.mp3,"organizing, leading and controlling",2.4
clips/chunk_0096.mp3,لوجاكم سؤال,1.1
clips/chunk_0097.mp3,قال عليكم شنو هي ال organizational resources؟,4.0
clips/chunk_0098.mp3,تكتبون ليهم دلين,1.2
clips/chunk_0099.mp3,ال physical وال human وال financial وال information,3.1
clips/chunk_0100.mp3,ففرقوا بينهم,1.0
clips/chunk_0101.mp3,هذه ال management task,1.5
clips/chunk_0102.mp3,هي المهام الإدارية اللي لازم المدير,2.9
clips/chunk_0103.mp3,يتبعها,1.0
clips/chunk_0104.mp3,عشان في النهاية وصلنا للهدف,2.5
clips/chunk_0105.mp3,أو أهداف المنظمة,1.2
clips/chunk_0106.mp3,عشان يحقق في النغوية أهداف المنظمة,2.2
clips/chunk_0107.mp3,لكن,0.8
clips/chunk_0108.mp3,هذه الأشياء اللي لازم,1.6
clips/chunk_0109.mp3,يشرف عليها وهذه تعتبر موارج,2.9
clips/chunk_0110.mp3,okay,0.5
clips/chunk_0111.mp3,ففرقوا بينهم,1.0
clips/chunk_0112.mp3,الحين بنجليهم نشرحهم واحدة وحدة,2.4
clips/chunk_0113.mp3,o?,0.5
clips/chunk_0114.mp3,بين أعرف خطواتهم,1.1
clips/chunk_0115.mp3,نزين، فالحين نجيء على,2.3
clips/chunk_0116.mp3,أول,0.8
clips/chunk_0117.mp3,مهمّة,0.8
clips/chunk_0118.mp3,من المهام الإدارية وهي شنو؟,2.2
clips/chunk_0119.mp3,ال planning,0.7
clips/chunk_0120.mp3,انسين,0.6
clips/chunk_0121.mp3,انجي الى التخطيط,1.3
clips/chunk_0122.mp3,زين حيني نفاتحة شركة وكل شي,2.9
clips/chunk_0123.mp3,تخيل إن أنا,1.0
clips/chunk_0124.mp3,افتح شركة وما عندي هجف,1.8
clips/chunk_0125.mp3,يعني,0.8
clips/chunk_0126.mp3,ما يصير إن أنا أفتح جذي على عماي,2.3
clips/chunk_0127.mp3,لازم,0.7
clips/chunk_0128.mp3,يكون في عندي هدف شنو الهدف من؟,2.2
clips/chunk_0129.mp3,من هذه المنظمة,1.2
clips/chunk_0130.mp3,نزين؟,0.6
clips/chunk_0131.mp3,ففمرحلة التخطيط احنا شنو؟,2.6
clips/chunk_0132.mp3,بنسوّي determining goals okay,2.7
clips/chunk_0133.mp3,أو إن احنا بنختار choose,2.2
clips/chunk_0134.mp3,the appropriate goals okay,2.1
clips/chunk_0135.mp3,ف-determining goals and the appropriate courses of actions,4.5
clips/chunk_0136.mp3,to achieve them,0.9
clips/chunk_0137.mp3,ان زين؟,0.5
clips/chunk_0138.mp3,فالتخطيط هو عبارة عن إن أنا,2.9
clips/chunk_0139.mp3,بختار الهدف المناسب,1.7
clips/chunk_0140.mp3,okay,0.6
clips/chunk_0141.mp3,أو بختار الخطوات,1.7
clips/chunk_0142.mp3,أو القرارات,1.2
clips/chunk_0143.mp3,المناسبة اللي بتخلّينا أوصل حق هاي الهدف ال courses of actions,4.6
clips/chunk_0144.mp3,هي الخطوات اللي بتخليني أوصل حق هذا الهدف,3.0
clips/chunk_0145.mp3,نزين؟,0.6
clips/chunk_0146.mp3,ففي خطوة ال planning لازم اسأل روحي هذه الثلاث أسئلة,3.9
clips/chunk_0147.mp3,عشان,0.7
clips/chunk_0148.mp3,أخطط صح,1.1
clips/chunk_0149.mp3,okay,0.6
clips/chunk_0150.mp3,فاني مثلًا,1.1
clips/chunk_0151.mp3,هدفي من المنظمة,2.0
clips/chunk_0152.mp3,إن أنا,0.8
clips/chunk_0153.mp3,في النهاية,0.9
clips/chunk_0154.mp3,احقق أو نهاية السنة أحقق one million,3.2
clips/chunk_0155.mp3,okay,0.6
clips/chunk_0156.mp3,فانا جاوبت على هذا السؤال,2.0
clips/chunk_0157.mp3,what do we want?,1.0
clips/chunk_0158.mp3,to reach,0.6
clips/chunk_0159.mp3,أنا في النهاية,1.1
clips/chunk_0160.mp3,أو نهاية السنة,1.3
clips/chunk_0161.mp3,أب أوصل إلى one million، هذا الهدف مالي,2.9
clips/chunk_0162.mp3,و هذا اللي أبي أوصل إليه,1.5
clips/chunk_0163.mp3,and zin,0.6
clips/chunk_0164.mp3,أجي أسأل روحي بعد,1.4
clips/chunk_0165.mp3,what are the required resources?,2.5
clips/chunk_0166.mp3,شنو احيي الموارد المطلوبة؟,2.2
clips/chunk_0167.mp3,دلين الموارد,1.2
clips/chunk_0168.mp3,انزين,0.6
clips/chunk_0169.mp3,uhm,0.7
clips/chunk_0170.mp3,فشن الموارد المطلوبة مني؟,2.0
clips/chunk_0171.mp3,يعني,0.6
clips/chunk_0172.mp3,أنا عشان,0.9
clips/chunk_0173.mp3,أحقق في النهاية one million,1.9
clips/chunk_0174.mp3,مثلًا بحتاج إلى,1.8
clips/chunk_0175.mp3,financial أكثر,1.2
clips/chunk_0176.mp3,فاحتاج,0.6
clips/chunk_0177.mp3,هي لفلوس أكثر عشان أوظف ناس أكتر,3.0
clips/chunk_0178.mp3,عشان أجيب أشياء physical أكتر,2.5
clips/chunk_0179.mp3,مثلًا أحتاج إن أجيب,1.6
clips/chunk_0180.mp3,machines احتاج ان انا اجيب computers,2.6
clips/chunk_0181.mp3,ان زين احتاج اجيب ناس ازياد تشتغل على هذه ال machines اللي باجيبها,5.4
clips/chunk_0182.mp3,فأكيد بحتاج فلوس أزياد,1.7
clips/chunk_0183.mp3,وأكيد هالناس اللي بيجيبهم عندهم information أزياد,2.9
clips/chunk_0184.mp3,نزين؟,0.6
clips/chunk_0185.mp3,فلازم أجاب على هذا السؤال,2.2
clips/chunk_0186.mp3,إن شنو؟,1.0
clips/chunk_0187.mp3,الموارد اللي بحتاجها,2.2
clips/chunk_0188.mp3,okay,0.6
clips/chunk_0189.mp3,how,0.5
clips/chunk_0190.mp3,how,0.7
clips/chunk_0191.mp3,تحول و,1.2
clips/chunk_0192.mp3,we reach it، دي اتش هالسؤال دي,2.6
clips/chunk_0193.mp3,in,0.3
clips/chunk_0194.mp3,كيف سنصل اليه؟ انزين,1.8
clips/chunk_0195.mp3,فشلون احنا؟,1.7
clips/chunk_0196.mp3,بنوصل إلى هذا الهدف,1.6
clips/chunk_0197.mp3,ان زين؟,0.6
clips/chunk_0198.mp3,مثلًا,1.4
clips/chunk_0199.mp3,إن,0.9
clips/chunk_0200.mp3,أحتاج,0.8
clips/chunk_0201.mp3,أسوّي marketing أزياد,2.2
clips/chunk_0202.mp3,فهب,0.7
clips/chunk_0203.mp3,أروح إلى قسم ال marketing وأقوليهم يلا سوقوه عشان الناس تعرفنا أكثر,5.1
clips/chunk_0204.mp3,فهوية الطريقة يعني فبتحتاجون أكيد إلى ال financial إلى ال human,4.8
clips/chunk_0205.mp3,ال physical,0.8
clips/chunk_0206.mp3,جذي فاحنا لازم نجاوب على هذه الأسئلة,2.7
clips/chunk_0207.mp3,انزين,0.6
clips/chunk_0208.mp3,فالحين,0.7
clips/chunk_0209.mp3,يقولك هم,0.9
clips/chunk_0210.mp3,بيطلع عليه النشي اسمه,1.6
clips/chunk_0211.mp3,ستراتيجية,1.1
clips/chunk_0212.mp3,زين؟ وش هي الاستراتيجية؟,2.1
clips/chunk_0213.mp3,أو ال strategy,1.0
clips/chunk_0214.mp3,the outcomes of planning is a strategy,3.0
clips/chunk_0215.mp3,فع,0.3
clips/chunk_0216.mp3,حين عقبين ما جابت على هالأسئلة وخط,3.5
clips/chunk_0217.mp3,اخترت الهدف,1.8
clips/chunk_0218.mp3,بتطلع لي شيء اسميه strategy,3.3
clips/chunk_0219.mp3,عقبها التخطيط اللي سويتها,1.8
clips/chunk_0220.mp3,هي ال ..,1.1
clips/chunk_0221.mp3,خطة اللي سويتها,1.5
clips/chunk_0222.mp3,اسميها شنو؟,1.0
clips/chunk_0223.mp3,strategy okay,1.3
clips/chunk_0224.mp3,فهي شنو؟,0.8
clips/chunk_0225.mp3,cluster,0.8
clips/chunk_0226.mp3,أو group,0.8
clips/chunk_0227.mp3,فهي مجموعة,1.3
clips/chunk_0228.mp3,من ال decisions about what goals,2.4
clips/chunk_0229.mp3,to pursue,0.9
clips/chunk_0230.mp3,what action to take,1.5
clips/chunk_0231.mp3,and how to use resources,2.3
clips/chunk_0232.mp3,to achieve goals okay,1.6
clips/chunk_0233.mp3,فهي بتكون خطة شاملة إلى الأحداث مالينين,3.4
clips/chunk_0234.mp3,ويلة الخطوات,1.3
clips/chunk_0235.mp3,و الى استخدام الموارد,1.6
clips/chunk_0236.mp3,okay,0.6
clips/chunk_0237.mp3,فهذه اللي نطلق عليها,1.5
clips/chunk_0238.mp3,strategy,0.8
clips/chunk_0239.mp3,تمام؟,0.5
clips/chunk_0240.mp3,فال strategy بيكون فيها الأهداف بيكن فيها ال goals,4.1
clips/chunk_0241.mp3,نزين؟,0.6
clips/chunk_0242.mp3,وبكون فيها ال action to take,2.1
clips/chunk_0243.mp3,نزين؟,0.5
clips/chunk_0244.mp3,اللي هو الإجراءات أو الخطوات اللي بنتخذها,3.7
clips/chunk_0245.mp3,وبكون فيها,1.2
clips/chunk_0246.mp3,الموارد اللي بنحتاجها عشان في النهاية نحقق الحدف,4.1
clips/chunk_0247.mp3,فهذه هي شنو؟,1.1
clips/chunk_0248.mp3,ال strategy هي ال outcomes,2.4
clips/chunk_0249.mp3,of,0.5
clips/chunk_0250.mp3,planning,0.7
clips/chunk_0251.mp3,okay,0.5
clips/chunk_0252.mp3,انزين,0.6
clips/chunk_0253.mp3,الحين نجي إلى ثاني مهمة,2.1
clips/chunk_0254.mp3,من المهام الإدارية وهي ال organizing,3.4
clips/chunk_0255.mp3,خلصنا من ال planning اللي هو التخطيط,2.8
clips/chunk_0256.mp3,انجي الى حين,1.0
clips/chunk_0257.mp3,التنظيم ال organizing,1.6
clips/chunk_0258.mp3,ال organization شنو تعريفة؟,2.2
clips/chunk_0259.mp3,يقل لك اهني,1.1
clips/chunk_0260.mp3,ال organizing أخوة,1.4
clips/chunk_0261.mp3,structuring working relations,2.3
clips/chunk_0262.mp3,relationship,0.8
clips/chunk_0263.mp3,so organizational members,2.4
clips/chunk_0264.mp3,interact and,1.2
clips/chunk_0265.mp3,cop,0.2
clips/chunk_0266.mp3,rate,0.5
clips/chunk_0267.mp3,to achieve organizational goals,1.9
clips/chunk_0268.mp3,م زين,0.4
clips/chunk_0269.mp3,فا,0.6
clips/chunk_0270.mp3,التنظيم هو شنو؟,1.4
clips/chunk_0271.mp3,إن أنا بنظم هيكل علاقات العمل,2.6
clips/chunk_0272.mp3,بين الموظفين في المؤسسة,1.8
clips/chunk_0273.mp3,عشان يتفاعلون ويتعونون ويبعض,4.1
clips/chunk_0274.mp3,عشان يحققون الأهجاف,1.7
clips/chunk_0275.mp3,فكل واحد,1.0
clips/chunk_0276.mp3,بيعرف,0.6
clips/chunk_0277.mp3,هو شنو وظيفته؟,1.7
clips/chunk_0278.mp3,ان زين؟,0.6
clips/chunk_0279.mp3,يعني أجأ إلى هذا الشخص وأقل له أنت بتكون,3.7
clips/chunk_0280.mp3,في قسم ال account وبتكون ال account receivable مثلا,4.1
clips/chunk_0281.mp3,زين فاخليه,1.3
clips/chunk_0282.mp3,بال account receivable,1.3
clips/chunk_0283.mp3,انزين؟,0.6
clips/chunk_0284.mp3,و اقول ليه انت؟,1.5
clips/chunk_0285.mp3,شغلك اللي بيشرف عليه هو هذا الشخص,2.6
clips/chunk_0286.mp3,okay,0.6
clips/chunk_0287.mp3,فانت بتسوي reporting,2.0
clips/chunk_0288.mp3,إلى,0.6
clips/chunk_0289.mp3,أو report,1.0
clips/chunk_0290.mp3,إلى هذا الشخص,1.1
clips/chunk_0291.mp3,اللي فوقك,0.8
clips/chunk_0292.mp3,هو بيعرف,1.0
clips/chunk_0293.mp3,إن في,0.8
clips/chunk_0294.mp3,أحد فوقه بيراجع شغله,1.8
clips/chunk_0295.mp3,انزين؟,0.5
clips/chunk_0296.mp3,وبيعرف,0.6
clips/chunk_0297.mp3,إلى مين يروح؟ إذا مثلاً احتاج شيء,2.6
clips/chunk_0298.mp3,أو,0.6
clips/chunk_0299.mp3,عنده سؤال,1.0
clips/chunk_0300.mp3,يعرف إلى مين يروح,1.2
clips/chunk_0301.mp3,فال ال organizing,1.8
clips/chunk_0302.mp3,خلّي كل شخص يعرف شنه هو,2.4
clips/chunk_0303.mp3,ال position ماله,1.1
clips/chunk_0304.mp3,وبسوّي report إلى من؟,1.8
clips/chunk_0305.mp3,okay,0.6
clips/chunk_0306.mp3,fer,0.5
clips/chunk_0307.mp3,بالنظم,0.9
clips/chunk_0308.mp3,هيكل علاقات العمل okay,2.3
clips/chunk_0309.mp3,انزين,0.6
clips/chunk_0310.mp3,عندنا بعد في ال organization,2.3
