audio_file,transcription
audio1-1.wav,بسم الله الرحمن الرحيم السلام عليكم
audio1-2.wav,معاكم اختكم زهره علي
audio1-3.wav,وان شاء الله راح اكون وياكم
audio1-4.wav,في مادة Management 230
audio1-5.wav,الماده جدا سهله
audio1-6.wav,تحتاج منكم للأمانه شوية حفظ
audio1-7.wav,لكن اذا فهمتوا
audio1-9.wav,الماتيريال نفسه
audio1-10.wav,بتقدرون تكتبون من عندكم ف اهم شي انتون تفهمون
audio1-11.wav,واذا فهمتون كل شي بيسهل عليكم حتى الحفظ
audio1-13.wav,ركزوا ركزوا ركزوا على الفهم
audio1-14.wav,وفيه يعني خل نقول نسبه بسيطه حفظ يعني رؤوس اقلام جذي
audio1-15.wav,بتحفظونها
audio1-16.wav,او نقاط خل نقول
audio1-17.wav,لكن بسيطين جدا بسيطين
audio1-18.wav,واذا فهمتوا نفس ما قلت ليكم تقدرون تكتبون من عندكم
audio1-21.wav,اللي بيتكلم عن ال managers and managing
audio1-22.wav,هذي هي الاهداف مالتنا الي بنتكلم عنها خلال هالجبتر
audio1-23.wav,اول شي رح نعرف شنو اهيا ال Organization
audio1-25.wav,ال Organizational resources
audio1-26.wav,وال management task
audio1-27.wav,وال Organizational performance
audio1-28.wav,وال managerial level
audio1-29.wav,وال management skills
audio1-33.wav,تعريف ال Organization شنو يقول
audio1-34.wav,يقول لكم ال Organizations are collection of people
audio1-35.wav,who work together
audio1-36.wav,who work together and coordinate their action to achieve a wide variety of goals
audio1-38.wav,or desired future outcomes انزين
audio1-39.wav,فـ تعريف ال organizations المنظمات اهوا شنو ؟
audio1-40.wav,هو عبارة عن مجموعة من الناس الي بيشتغلون ويا بعض عشان يحققون اهداف
audio1-46.wav,فهوَ group of people who work together to achieve goals انزين
audio1-47.wav,-
audio1-52.wav,-
audio1-53.wav,المنظمات الربحية بنطلق عليها أسم ثاني و اهوا الـ Businesses
audio1-63.wav,ونوعها  Non-profit oriented اوكيه؟
audio1-64.wav,اشلون ؟
audio1-65.wav,لانه مستشفى السلمانية فيه group of people
audio1-66.wav,who work together
audio1-67.wav,to achieve what ? to achieve الـ goal
audio1-68.wav,عشان يحققون الهدف
audio1-69.wav,انزين
audio1-70.wav,فـ مثل ما قلنا هذا تعريف الـ organization انهما مجموعة من الناس الي بيشتغلون مع بعض عشان يحققون الهدف
audio1-71.wav,فـ نفس الشي مستشفى السلمانية
audio1-72.wav,احنا لمن نروح فيه مجموعة من الناس والدكاترة الي يشتغلون ويا بعض
audio1-73.wav,عشان يعالجون الناس هذا الهدف مالهم
audio1-74.wav,واهما
audio1-75.wav,ما ياخذون علينا فلوس فـ اهما  Non-profit oriented
audio1-76.wav,فـ مستشفى السلمانية يعتبر منظمة
audio1-77.wav,غير ربحية اوكيه؟
audio1-78.wav,انزين
audio1-79.wav,لو كان لمن انجي الى عيادة رام
audio1-80.wav,عيادة رام
audio1-81.wav,تعتبر Business ليش ؟ لانه احنا لمن نروح هناك
audio1-82.wav,ندفع دم قلبنا
audio1-83.wav,اوكيه؟
audio1-84.wav,فـ
audio1-85.wav,خلنا خل نقرا تعريف الـ Businesses اول
audio1-86.wav,يقولكم Businesses or organization that has collection of people who work together and coordinate their action to achieve what ? profit
audio1-87.wav,هاي الكلمة المفتاحية انه اهما هدفهم شنو في النهاية ؟ يحققون فلوس
audio1-88.wav,اوكيه ؟
audio1-89.wav,بس نقدر نقول عن
audio1-90.wav,ااا عيادة رام انه اهيا شنو؟ منظمة
audio1-91.wav,اوكيه؟
audio1-92.wav,شلون ؟ هذا الي ياخذنا الى هيّ العبارة
audio1-93.wav,يقولكم
audio1-94.wav,all Businesses are organizations
audio1-95.wav,كل المنظمات
audio1-96.wav,ما ادري سوري كل الشركات بتعتبر منظمات
audio1-97.wav,انزين
audio1-98.wav,بس مو كل المنظمات بتعتبر شركات اشلون يعني ؟
audio1-99.wav,الحين عيادة رام احنا لما نروح هناك ندفع فلوس انزين
audio1-100.wav,وبعد
audio1-101.wav,هذي العيادة تعتبر organization  ليش ؟ لان هي في النهاية
audio1-102.wav,فيها مجموعة من الناس
audio1-103.wav,الي قاعدين يشتغلون مع بعض عشان يحققون الهدف
audio1-104.wav,هدفهم انهما
audio1-105.wav,يحققون فلوس
audio1-106.wav,ويجيبون profit
audio1-107.wav,انزين
audio1-108.wav,لكن
audio1-109.wav,بعد ينطبق عليهم شنو ؟ بعد ينطبق عليهم هذا التعريف
audio1-110.wav,ان اهما
audio1-111.wav,في النهاية شنو ؟ بيحققون هدف
audio1-112.wav,فـ هما مجموعه من الناس الي بيشتغلون مع بعض عشان يحققون هدف
